,Group,FA,FA StdDev,MD,MD StdDev,RD,RD StdDev,AD,AD StdDev
000097,C,0.6216885447502136,0.2459448277950287,0.0009800299303606153,0.0003677917120512575,0.0005792086594738066,0.0004473056469578296,0.0017816723557189107,0.00037495067226700485
000270,C,0.6013380289077759,0.24316725134849548,0.000976947252638638,0.0003832725924439728,0.0005721407360397279,0.00044667802285403013,0.0017865601694211364,0.0003902148164343089
000272,C,0.6125958561897278,0.25540509819984436,0.0008977845427580178,0.0003729833697434515,0.000524825940374285,0.0004326684575062245,0.0016437018057331443,0.00039221043698489666
000274,C,0.6267139315605164,0.22874562442302704,0.0010239380644634366,0.0005347565747797489,0.000622428604401648,0.0005681950133293867,0.0018269566353410482,0.0005512183415703475
000278,C,0.631233811378479,0.22668813169002533,0.000944312836509198,0.0003675929910968989,0.0005578091950155795,0.00042257201857864857,0.0017173199448734522,0.0003657070337794721
000279,C,0.6030784845352173,0.21838799118995667,0.0009754500351846218,0.0003250580921303481,0.0005884623969905078,0.0003829150227829814,0.0017494249623268843,0.0003414966049604118
000280,C,0.6301603317260742,0.2582792043685913,0.0010129761649295688,0.00043683493277058005,0.0005917036323808134,0.0005000436212867498,0.001855521579273045,0.00043652550084516406
000300,C,0.6095021367073059,0.2361907958984375,0.0010146154090762138,0.0004153252230025828,0.0006136838346719742,0.00046110094990581274,0.0018164787907153368,0.0004793130501639098
000304,C,0.6326568722724915,0.23466017842292786,0.0008909832104109228,0.0003306091239210218,0.000512357393745333,0.0003922733885701746,0.0016482346691191196,0.00036844651913270354
000309,C,0.5993308424949646,0.22156447172164917,0.0008877450600266457,0.000350956863258034,0.0005475125508382916,0.0003956409345846623,0.0015682100784033537,0.0003853634116239846
000310,C,0.6274781823158264,0.26427161693573,0.0009759034146554768,0.00044888208503834903,0.0005794243770651519,0.0004987895954400301,0.001768861897289753,0.00047266363981179893
000311,C,0.6310270428657532,0.248487651348114,0.0009551961557008326,0.0004471564316190779,0.000545261544175446,0.0005040254327468574,0.0017750654369592667,0.00044629682088270783
000315,C,0.6315325498580933,0.23779909312725067,0.0008468761807307601,0.0002911002957262099,0.0004877756582573056,0.00035066017881035805,0.0015650769928470254,0.000325933622661978
000317,C,0.614665687084198,0.23858554661273956,0.0009055064874701202,0.0003203699889127165,0.0005348655977286398,0.00038537735235877335,0.0016467880923300982,0.00035141539410687983
000318,C,0.6226592659950256,0.2414182871580124,0.0008265594951808453,0.0003059925511479378,0.00047643951256759465,0.0003612073778640479,0.001526799169369042,0.0003830225032288581
000320,C,0.5895553231239319,0.2417539358139038,0.0008786735124886036,0.0003017651615664363,0.0005168030620552599,0.00034746850724332035,0.0016024145297706127,0.00040779521805234253
000329,C,0.4910203516483307,0.2592492997646332,0.0009198797633871436,0.0004522308590821922,0.0005556577234528959,0.000487340847030282,0.0016483237268403172,0.000512787897605449
000330,C,0.6165591478347778,0.22895334661006927,0.0009041845914907753,0.0003372462815605104,0.0005410815356299281,0.0004043063090648502,0.001630390645004809,0.0003414801321923733
000332,C,0.6309027075767517,0.2766967713832855,0.0008823609678074718,0.00035707090864889324,0.0005109170451760292,0.0004502165538724512,0.0016252488130703568,0.00029925937997177243
000334,C,0.6433092355728149,0.26350876688957214,0.0009271583985537291,0.000505967705976218,0.0005497310776263475,0.0005552758811973035,0.0016820129239931703,0.000508369761519134
000336,C,0.6266404986381531,0.23045982420444489,0.0009179518674500287,0.00034649731242097914,0.0005345927784219384,0.000403230165829882,0.0016846699872985482,0.0003476535785011947
000343,C,0.6673580408096313,0.25496959686279297,0.0008731394773349166,0.00034870358649641275,0.00047574046766385436,0.00043273507617414,0.001667937496677041,0.00034406722988933325
000345,C,0.6287159323692322,0.23246647417545319,0.0009143222123384476,0.00038345198845490813,0.000536026491317898,0.00042010549805127084,0.0016709136543795466,0.0004309669602662325
000347,C,0.6574860215187073,0.22779856622219086,0.0008737882017157972,0.0003466684138402343,0.0004861707566305995,0.00041593521018512547,0.0016490230336785316,0.0003622116637416184
